portfolio,type,model,alpha,t_alpha,abs_alpha,significant
SMALL LoBM,stock,one_factor,-0.19501009177193734,-0.7374316059090495,0.19501009177193734,False
ME1 BM2,stock,one_factor,0.19457713203371524,0.8795523432708315,0.19457713203371524,False
ME1 BM3,stock,one_factor,0.1968138669602937,0.9314313376225023,0.1968138669602937,False
ME1 BM4,stock,one_factor,0.40866280009444794,1.967886591437639,0.40866280009444794,False
SMALL HiBM,stock,one_factor,0.5839840725769667,2.553658391455039,0.5839840725769667,True
ME2 BM1,stock,one_factor,-0.1838103314992222,-0.8796505030741165,0.1838103314992222,False
ME2 BM2,stock,one_factor,0.07118388736679165,0.36704440154607965,0.07118388736679165,False
ME2 BM3,stock,one_factor,0.32772197122494096,1.9381875948953755,0.32772197122494096,False
ME2 BM4,stock,one_factor,0.48999727746357485,2.856919072147806,0.48999727746357485,True
ME2 BM5,stock,one_factor,0.4590859937041536,2.2832236602107048,0.4590859937041536,True
ME3 BM1,stock,one_factor,-0.20230526071684668,-1.2009528947073438,0.20230526071684668,False
ME3 BM2,stock,one_factor,0.36788591884288574,2.429379561939733,0.36788591884288574,True
ME3 BM3,stock,one_factor,0.31867273475134195,2.09277114591744,0.31867273475134195,True
ME3 BM4,stock,one_factor,0.4642865701431724,3.0822397703808697,0.4642865701431724,True
ME3 BM5,stock,one_factor,0.5838246009127046,3.4641912880004706,0.5838246009127046,True
ME4 BM1,stock,one_factor,-0.04880017417205512,-0.4078580337163222,0.04880017417205512,False
ME4 BM2,stock,one_factor,0.029971368956106463,0.24485951140743661,0.029971368956106463,False
ME4 BM3,stock,one_factor,0.21614050226728287,1.7879372271599543,0.21614050226728287,False
ME4 BM4,stock,one_factor,0.41972132242216675,2.9682163894791977,0.41972132242216675,True
ME4 BM5,stock,one_factor,0.4515028678656466,2.440058851844076,0.4515028678656466,True
BIG LoBM,stock,one_factor,-0.019847721039871504,-0.19635362375164558,0.019847721039871504,False
ME5 BM2,stock,one_factor,-0.10525362775071577,-1.235419598498734,0.10525362775071577,False
ME5 BM3,stock,one_factor,-0.11282647379769221,-1.1026588205267147,0.11282647379769221,False
ME5 BM4,stock,one_factor,0.0905553476053992,0.73900787174223,0.0905553476053992,False
BIG HiBM,stock,one_factor,0.15790372410864173,0.8554559993179985,0.15790372410864173,False
SHORT_TERM,bond,one_factor,0.05688000862489653,26.400532771532053,0.05688000862489653,True
LONG_TERM,bond,one_factor,0.10399365309940325,17.853069859548064,0.10399365309940325,True
AAA,bond,one_factor,0.12236246479927262,20.449075466108333,0.12236246479927262,True
AA,bond,one_factor,0.14073127649914277,22.814886925312774,0.14073127649914277,True
A,bond,one_factor,0.15910008819901353,24.95051987506083,0.15910008819901353,True
BBB,bond,one_factor,0.1774688998988839,26.863925072794217,0.1774688998988839,True
LOW_GRADE,bond,one_factor,0.19583771159875427,28.56848187161588,0.19583771159875427,True
SMALL LoBM,stock,two_factor_bond,-1.638427468421406,-1.4711348620350173,1.638427468421406,False
ME1 BM2,stock,two_factor_bond,-1.6549718818271264,-1.7555574320761238,1.6549718818271264,False
ME1 BM3,stock,two_factor_bond,-1.9088704517872477,-2.1205156647537833,1.9088704517872477,True
ME1 BM4,stock,two_factor_bond,-1.5182827720110332,-1.7545933540852128,1.5182827720110332,False
SMALL HiBM,stock,two_factor_bond,-1.2308615593526206,-1.3661870471686517,1.2308615593526206,False
ME2 BM1,stock,two_factor_bond,-1.456652130308755,-1.3962206426188295,1.456652130308755,False
ME2 BM2,stock,two_factor_bond,-2.45839062892185,-2.671927760498531,2.45839062892185,True
ME2 BM3,stock,two_factor_bond,-1.2682165529733254,-1.5098800337161304,1.2682165529733254,False
ME2 BM4,stock,two_factor_bond,-1.3480588226444175,-1.6453087574344665,1.3480588226444175,False
ME2 BM5,stock,two_factor_bond,-0.9756875666742123,-1.105621040051057,0.9756875666742123,False
ME3 BM1,stock,two_factor_bond,-1.9781706097215617,-2.168018140328527,1.9781706097215617,True
ME3 BM2,stock,two_factor_bond,-1.9323953908679625,-2.3018662150676668,1.9323953908679625,True
ME3 BM3,stock,two_factor_bond,-1.3312801953913764,-1.6580463614633227,1.3312801953913764,False
ME3 BM4,stock,two_factor_bond,-1.2097314608499758,-1.608511376482209,1.2097314608499758,False
ME3 BM5,stock,two_factor_bond,-0.8592920736133807,-1.0787971580747129,0.8592920736133807,False
ME4 BM1,stock,two_factor_bond,-1.4727848404391395,-1.8194552834843616,1.4727848404391395,False
ME4 BM2,stock,two_factor_bond,-1.843307223404938,-2.321596073598452,1.843307223404938,True
ME4 BM3,stock,two_factor_bond,-1.5498861935468362,-2.0689656233564673,1.5498861935468362,True
ME4 BM4,stock,two_factor_bond,-0.9028830265591117,-1.163046661510239,0.9028830265591117,False
ME4 BM5,stock,two_factor_bond,-1.157388384328387,-1.3674319787856148,1.157388384328387,False
BIG LoBM,stock,two_factor_bond,-0.9374578338419253,-1.419799692293496,0.9374578338419253,False
ME5 BM2,stock,two_factor_bond,-1.5792057898904472,-2.4190785911006585,1.5792057898904472,True
ME5 BM3,stock,two_factor_bond,-1.0888263549100685,-1.637380561040339,1.0888263549100685,False
ME5 BM4,stock,two_factor_bond,-0.988602502624073,-1.4350318697901892,0.988602502624073,False
BIG HiBM,stock,two_factor_bond,-2.020068770740585,-2.510867624869792,2.020068770740585,True
SHORT_TERM,bond,two_factor_bond,0.012573898880513044,3.2473167110698764,0.012573898880513044,True
LONG_TERM,bond,two_factor_bond,0.0033834558921934234,1.5261999287038912,0.0033834558921934234,False
AAA,bond,two_factor_bond,0.0033834558921916878,1.5261999287031125,0.0033834558921916878,False
AA,bond,two_factor_bond,0.00338345589219147,1.5261999287030417,0.00338345589219147,False
A,bond,two_factor_bond,0.003383455892191814,1.5261999287032002,0.003383455892191814,False
BBB,bond,two_factor_bond,0.003383455892190784,1.5261999287027135,0.003383455892190784,False
LOW_GRADE,bond,two_factor_bond,0.003383455892190811,1.526199928702775,0.003383455892190811,False
SMALL LoBM,stock,three_factor_stock,-0.39995540025398013,-2.7289178224517423,0.39995540025398013,True
ME1 BM2,stock,three_factor_stock,-0.08633877509661282,-0.7673293880391879,0.08633877509661282,False
ME1 BM3,stock,three_factor_stock,-0.16121496103520563,-1.6042029777217317,0.16121496103520563,False
ME1 BM4,stock,three_factor_stock,-0.008061910405093615,-0.09658738314686419,0.008061910405093615,False
SMALL HiBM,stock,three_factor_stock,0.0423454779035189,0.46934433663607167,0.0423454779035189,False
ME2 BM1,stock,three_factor_stock,-0.14367429754104347,-1.0563881522598775,0.14367429754104347,False
ME2 BM2,stock,three_factor_stock,-0.16350876792024877,-1.4624356108653251,0.16350876792024877,False
ME2 BM3,stock,three_factor_stock,0.053350286529354064,0.5781821915773927,0.053350286529354064,False
ME2 BM4,stock,three_factor_stock,0.11393925374785341,1.2298220846024812,0.11393925374785341,False
ME2 BM5,stock,three_factor_stock,-0.031896817527633604,-0.30737389782715646,0.031896817527633604,False
ME3 BM1,stock,three_factor_stock,-0.191019227893689,-1.7075813237614235,0.191019227893689,False
ME3 BM2,stock,three_factor_stock,0.20531649276558944,1.990469339890897,0.20531649276558944,False
ME3 BM3,stock,three_factor_stock,0.08037555512477881,0.7541574236054525,0.08037555512477881,False
ME3 BM4,stock,three_factor_stock,0.11478056370182609,1.163963960488943,0.11478056370182609,False
ME3 BM5,stock,three_factor_stock,0.16352213968272505,1.5671660545761334,0.16352213968272505,False
ME4 BM1,stock,three_factor_stock,0.06082060998477466,0.6161425993014734,0.06082060998477466,False
ME4 BM2,stock,three_factor_stock,-0.04950065299460275,-0.4524644318247921,0.04950065299460275,False
ME4 BM3,stock,three_factor_stock,0.02356854187016947,0.23336673091672439,0.02356854187016947,False
ME4 BM4,stock,three_factor_stock,0.1190699899069933,1.0428483745385206,0.1190699899069933,False
ME4 BM5,stock,three_factor_stock,0.027838741462937494,0.19479186648967597,0.027838741462937494,False
BIG LoBM,stock,three_factor_stock,0.21711922711752676,2.755988564119618,0.21711922711752676,True
ME5 BM2,stock,three_factor_stock,-0.09174625151686433,-1.0853017603680968,0.09174625151686433,False
ME5 BM3,stock,three_factor_stock,-0.18757046358753623,-1.8897527997005539,0.18757046358753623,False
ME5 BM4,stock,three_factor_stock,-0.11147052547383927,-1.0489555595351727,0.11147052547383927,False
BIG HiBM,stock,three_factor_stock,-0.2699497635698735,-1.920644749045461,0.2699497635698735,False
SHORT_TERM,bond,three_factor_stock,0.05720300662153014,25.978703487853434,0.05720300662153014,True
LONG_TERM,bond,three_factor_stock,0.10385686725555794,17.43226360947337,0.10385686725555794,True
AAA,bond,three_factor_stock,0.12212281615864069,19.95510546745939,0.12212281615864069,True
AA,bond,three_factor_stock,0.14038876506172415,22.254489728316116,0.14038876506172415,True
A,bond,three_factor_stock,0.15865471396480824,24.33046330571005,0.15865471396480824,True
BBB,bond,three_factor_stock,0.17692066286789196,26.19074002937106,0.17692066286789196,True
LOW_GRADE,bond,three_factor_stock,0.1951866117709757,27.848281969294575,0.1951866117709757,True
SMALL LoBM,stock,five_factor,0.3093731158795533,0.856539053483414,0.3093731158795533,False
ME1 BM2,stock,five_factor,-0.02900949998004252,-0.10333641245322417,0.02900949998004252,False
ME1 BM3,stock,five_factor,-0.3822295946109597,-1.5276501929177462,0.3822295946109597,False
ME1 BM4,stock,five_factor,-0.08673563011427393,-0.41666162131674106,0.08673563011427393,False
SMALL HiBM,stock,five_factor,0.1741506355902625,0.7749838910366373,0.1741506355902625,False
ME2 BM1,stock,five_factor,0.5324341078390378,1.5821640515258726,0.5324341078390378,False
ME2 BM2,stock,five_factor,-0.7949071285825494,-2.878639154825628,0.7949071285825494,True
ME2 BM3,stock,five_factor,0.24995674849928415,1.0873714095092135,0.24995674849928415,False
ME2 BM4,stock,five_factor,0.07623177335377379,0.3297538977705968,0.07623177335377379,False
ME2 BM5,stock,five_factor,0.4786593589290892,1.8613793967090428,0.4786593589290892,False
ME3 BM1,stock,five_factor,-0.21114356543740864,-0.7573348797653545,0.21114356543740864,False
ME3 BM2,stock,five_factor,-0.3448372951939061,-1.3514006072518905,0.3448372951939061,False
ME3 BM3,stock,five_factor,0.1368796891364093,0.5147616787298257,0.1368796891364093,False
ME3 BM4,stock,five_factor,0.10033973937554369,0.4083544865185096,0.10033973937554369,False
ME3 BM5,stock,five_factor,0.48541562564897517,1.8694258638752186,0.48541562564897517,False
ME4 BM1,stock,five_factor,0.15986361540221747,0.6491867758917682,0.15986361540221747,False
ME4 BM2,stock,five_factor,-0.3014577998351546,-1.1077944046830246,0.3014577998351546,False
ME4 BM3,stock,five_factor,-0.14110758958244968,-0.5603824093924084,0.14110758958244968,False
ME4 BM4,stock,five_factor,0.47767058944815527,1.682508756597312,0.47767058944815527,False
ME4 BM5,stock,five_factor,0.23259170245554014,0.6532983151368272,0.23259170245554014,False
BIG LoBM,stock,five_factor,0.38634775067073623,1.9692539830250564,0.38634775067073623,False
ME5 BM2,stock,five_factor,-0.3028614272307729,-1.4392935244782374,0.3028614272307729,False
ME5 BM3,stock,five_factor,0.15538639507991162,0.6301186545852898,0.15538639507991162,False
ME5 BM4,stock,five_factor,0.22458477055759773,0.8496309627674529,0.22458477055759773,False
BIG HiBM,stock,five_factor,-0.7758713633965896,-2.2203923600565676,0.7758713633965896,True
SHORT_TERM,bond,five_factor,0.011161370046129672,2.9073604222481055,0.011161370046129672,True
LONG_TERM,bond,five_factor,0.002730795495822331,1.2447495197341827,0.002730795495822331,False
AAA,bond,five_factor,0.0027307954958206734,1.2447495197334297,0.0027307954958206734,False
AA,bond,five_factor,0.0027307954958204995,1.2447495197333749,0.0027307954958204995,False
A,bond,five_factor,0.0027307954958207935,1.2447495197335112,0.0027307954958207935,False
BBB,bond,five_factor,0.0027307954958198173,1.244749519733053,0.0027307954958198173,False
LOW_GRADE,bond,five_factor,0.0027307954958198793,1.244749519733118,0.0027307954958198793,False
SMALL LoBM,stock,two_factor_stock,0.09485180620306802,0.3181435008817723,0.09485180620306802,False
ME1 BM2,stock,two_factor_stock,0.3518256776643366,1.373908642314924,0.3518256776643366,False
ME1 BM3,stock,two_factor_stock,0.27128009383826945,1.0922766875378855,0.27128009383826945,False
ME1 BM4,stock,two_factor_stock,0.40447336523783217,1.7417093594673148,0.40447336523783217,False
SMALL HiBM,stock,two_factor_stock,0.4655581802244271,1.9405896986551376,0.4655581802244271,False
ME2 BM1,stock,two_factor_stock,0.38249244881243977,1.2422875330462924,0.38249244881243977,False
ME2 BM2,stock,two_factor_stock,0.3131039402810595,1.1422094550168103,0.3131039402810595,False
ME2 BM3,stock,two_factor_stock,0.502045757630502,1.9834686620203141,0.502045757630502,False
ME2 BM4,stock,two_factor_stock,0.5642011185571554,2.2211111652395705,0.5642011185571554,True
ME2 BM5,stock,two_factor_stock,0.4351669396234151,1.6338161894336702,0.4351669396234151,False
ME3 BM1,stock,two_factor_stock,0.2977183545190518,1.0633338391915403,0.2977183545190518,False
ME3 BM2,stock,two_factor_stock,0.6832409388323818,2.5175512851502764,0.6832409388323818,True
ME3 BM3,stock,two_factor_stock,0.5378272410661361,2.0464775365251535,0.5378272410661361,True
ME3 BM4,stock,two_factor_stock,0.5559568137743468,2.2077971965201,0.5559568137743468,True
ME3 BM5,stock,two_factor_stock,0.6218952420034579,2.37033955338242,0.6218952420034579,True
ME4 BM1,stock,two_factor_stock,0.5489496336400728,1.9978962958074493,0.5489496336400728,False
ME4 BM2,stock,two_factor_stock,0.44333553986173974,1.5776488039858345,0.44333553986173974,False
ME4 BM3,stock,two_factor_stock,0.49651843658403827,1.8515601896354925,0.49651843658403827,False
ME4 BM4,stock,two_factor_stock,0.6121310639280775,2.1631103206155475,0.6121310639280775,True
ME4 BM5,stock,two_factor_stock,0.5359879757543233,1.7714662742686225,0.5359879757543233,False
BIG LoBM,stock,two_factor_stock,0.6465843284139057,2.705370510739262,0.6465843284139057,True
ME5 BM2,stock,two_factor_stock,0.36653527031127325,1.4363259323868054,0.36653527031127325,False
ME5 BM3,stock,two_factor_stock,0.2728637044018749,1.043795808025809,0.2728637044018749,False
ME5 BM4,stock,two_factor_stock,0.36486185554530637,1.342372473493299,0.36486185554530637,False
BIG HiBM,stock,two_factor_stock,0.25864423860572977,0.8315425967297465,0.25864423860572977,False
SHORT_TERM,bond,two_factor_stock,0.0571810613078906,26.121725885916096,0.0571810613078906,True
LONG_TERM,bond,two_factor_stock,0.10501096011159027,17.618741271019054,0.10501096011159027,True
AAA,bond,two_factor_stock,0.12338867029089783,20.136008005585268,0.12338867029089783,True
AA,bond,two_factor_stock,0.14176638047020604,22.425637085508576,0.14176638047020604,True
A,bond,two_factor_stock,0.16014409064951496,24.489018273198468,0.16014409064951496,True
BBB,bond,two_factor_stock,0.1785218008288234,26.33505604201215,0.1785218008288234,True
LOW_GRADE,bond,two_factor_stock,0.1968995110081319,27.97768105606485,0.1968995110081319,True
